search_term,name,country,officers
Aibel,Aibel Limited,gb,"{""Monica Baardseth"",""Monica Baardseth"",""Idar Eikrem"",""Maha Jadallah"",""Patrick John Kennedy"",""Andrew Ross Mitchell"",""Peter Allan Goode"",""James Loren Gunderson"",""Maha Jadallah Harper"",""Patrick John Kennedy"",""Adrian Joseph Morris Levy"",""Harold Clive Mather"",""David John Pudge"",""Carine Smith Ihenacho"",""Stuart Andrew Spence"",""Dag W.R. Stromme"",""Rasmus Sunde"","" Clifford Chance Secretaries Limited""}"
Aibel,Aibel Uk Limited,gb,"{""David Masters"",""Idar Eikrem"",""Nils Arne Hatleskog"",""Erling Bernard Matland"",""Jan Stale Skar"",""Trond Bynes"",""Svein Andreas Dahl"",""Agnar Gravdal"",""Per Bjorn Habbestad"",""Stig Christian Jessen"",""Olav Magne Kvamme"",""Rune Larsen"",""Robert Martin Limb"",""Erling Matland"",""Jostein Ravn Ottesen"",""Jan Skogseth"",""Erling Bernard Matland"",""Svein Andreas Dahl"",""Jan Skogseth"",""Frode Stroemoe"",""Frode Stroemoe""}"
Aker Floating Production,Aker Floating Production As,no,{}
Alliance Marine Services,Alliance Marine Services & Supply Corp,us_nj,{}
Alliance Marine Services,Alliance Marine Services Geir Aksdal,no,{}
Alliance Marine Services,Alliance Marine Services Llc,us_ny,{}
Alliance Marine Services,Alliance Marine Services Pte Ltd,sg,{}
Alliance Marine Services,Alliance Marine Services Ltd.,us_ny,"{""Kirk M Lyons""}"
Amerada Hess,Amerada Hess (Bahamas) Limited,bs,{}
Amerada Hess,"Amerada Hess Bardawil, Inc.",us_de,{}
Amerada Hess,Amerada Hess Business Trust No. 1998-1,us_fl,"{""Ct Corporation System""}"
Amerada Hess,Amerada Hess Business Trust No. 1998-1,us_de,{}
Amerada Hess,Amerada Hess (Cayman) Limited,us_de,{}
Anadarko,Anadarko ** Anadarko Bank And Trust Company,us_ok,{}
Anadarko,Anadarko ** The Anadarko State Bank,us_ok,{}
Anadarko,Anadarko ** First State Bank,us_ok,{}
Anadarko,"Anadarko Abu Dhabi, Inc.",us_de,{}
Anadarko,"Anadarko Aerial Spraying Service, Inc.",us_ok,{}
Anzon,Anzon Africa Limited,mu,{}
Anzon,Anzon America Inc.,us_de,{}
Anzon,Anzon Company Llc,us_de,{}
Anzon,Anzon Computers,sg,{}
Anzon,Anzon Energy Mauritius,mu,{}
Apache,Apache 2012 Limited,gb,"{""Charles Edward Dickson"",""John Anthony Dunkerley"",""Richard Merlin Jackson"",""Paul David Orchard-Lisle"",""Sanjay Vasudev""}"
Apache,Apache Applications Ltd,gb,"{""Ghazanfar Iqbal"",""Nargus Iqbal"",""Ghazanfar Iqbal"",""Ansar Iqbal"",""Nargus Bano""}"
Apache,Apache Associates Limited,gb,"{""Glen Richard Bird"",""Glen Richard Bird"",""Carl Littlechild"",""Peter Alexander Newham"",""Carl Littlechild""}"
Apache,Apache Attire Limited,gb,"{""Agripa Badza"",""Ryan Robertson"",""Jack Alexander Olver""}"
Apache,Apache Beryl Iii Limited,gb,"{""Matthew Wayne Dundrea"",""Rodney John Eichler"",""James Lynn House"",""Roger Barton Plank"",""Andrew Terence Clarke"",""Russell Grant Bellis"",""Kevin Thomas Biddle"",""Bradley William Corson"",""Linda Dorcheus Ducharme"",""Robert Stuart Franklin"",""Richard Fambro Guerrant"",""Sheldon Von Plahn"",""Thomas William Schuessler"",""Jonathan Selzer"",""Lee Mark Tillman"",""Thomas Edward Voytovich"","" Cargil Management Services Limited""}"
Arco,Arco,al,{}
Atwood Oceanics,"Atwood Oceanics International, S.A.",pa,{}
Atwood Oceanics,Atwood Oceanics (M) Sdn. Bhd.,sg,{}
Atwood Oceanics,Atwood Oceanics Malta Limited,mt,{}
Atwood Oceanics,"Atwood Oceanics Management, Lp",us_de,{}
Atwood Oceanics,Atwood Oceanics Services,sg,{}
BHP,Bhp Architects Limited,gb,"{""Richard Bryant"",""John Harvey"",""Andrew Simon Davis""}"
BHP,B H P Associates Limited,gb,"{""Benjamin Harry Peters"",""Benjamin Harry Peters"",""Caroline Peters"","" Swift Incorporations Limited""}"
BHP,Bhp Auto Prestige & Sport Ltd,gb,{}
BHP,Bhp Bar Management Ltd,gb,"{""Adrian William Croshaw""}"
BHP,Bhp Billiton Aluminium Limited,gb,"{""Gail Mcgrath"",""Ian Robert Jacobson"",""David Keith Richardson"",""Elizabeth Anne Hobley"",""Frances Julie Niven"",""Mary Taylor"",""Ines Lucia Watson"",""Deirdre Therese Doherty"",""Paul Michael Everard"",""Robert Norman Carew Franklin"",""Richard Derek Harvey"",""Elizabeth Anne Hobley"",""Paul Anthony Koppelman"",""Stephen Francis Mitchell"",""Christiaan Lourens Smit"",""William Broughton Smith"",""Mary Taylor"",""Jeremy Stephen Thomas"",""Ines Lucia Watson"",""Andrew Peter Story"",""Ines Lucia Watson"",""Stefano Giorgini"","" Hackwood Secretaries Limited"","" Hackwood Directors Limited""}"
