id,owner,source_uri,field_operator,scrape_id,capacity,operator,rig_id,name,scrape_date,site,location_field,country,detail_uri,rated_water_depth,manager,drilling_depth,rig_type,top drive,rig design,current_water_depth,region,derrick,rig_design,rotary table,mud pumps,ship_type,flag,operating_status,competitive_rig,drawworks,delivery year,classification,shipyard
355,Seadrill Ltd,http://www.rigzone.com/data/results.asp?P=2&Region_ID=10,,BoLCtXbc,,--,West Vencedor,West Vencedor,2014-09-18 19:15:55.090026,Rigzone -- full,,Spain,http://www.rigzone.com/data/offshore_drilling_rigs/1496/Tender/Seadrill_Ltd/West_Vencedor,6561 ft.,Seadrill Ltd,30000 ft.,Tender,"NOV TDX-1250 7500psi WP, 1250 ton hoisting capacity, 2 x 1340hp AC motors, 2680 HP",Samsung SHI S10000,--,Africa - West,"NOV; Capacity: 2,500,000 lbs",Samsung SHI S10000,NOV 75.5 in. diameter,"4 x NOV 14-P-220, 2200 HP",Drillship,Panama,Ready Stacked,Yes,"NOV AHD1250 9,000 HP",2013,ABS,"Samsung Heavy Industries, South Korea"
356,Seadrill Ltd,http://www.rigzone.com/data/results.asp?P=2&Region_ID=10,,BoLCtXbc,,Chevron,Delta Queen,Delta Queen,2014-09-18 19:15:55.090026,Rigzone -- full,,Angola,http://www.rigzone.com/data/offshore_drilling_rigs/1080/Jackup/SeaWolf_Oil_Services_Limited/Delta_Queen,250 ft.,SeaWolf Oil Services Limited,20000 ft.,Jackup,"Varco TDS-8S AC Powered, 7500psi WP, 1150 HP",Keppel Fels KFELS SSDT-3600E-GOM-C42-6,--,Africa - West,"Pyramid 182'; Capacity: 1,300,000 lbs",Keppel Fels KFELS SSDT-3600E-GOM-C42-6,Lewco 49.5 in. diameter Model L-495 650 Tons,"4 x Lewco W-1712 7500 psi WP, 1700 HP",Tender,Panama,Drilling,Yes,"Lewco 3,000 HP",2009,ABS,"Keppel Fels, Singapore"
357,SeaWolf Oil Services Limited,http://www.rigzone.com/data/results.asp?P=2&Region_ID=10,,BoLCtXbc,,Conoil,SeaWolf Onome,SeaWolf Onome,2014-09-18 19:15:55.090026,Rigzone -- full,,Nigeria,http://www.rigzone.com/data/offshore_drilling_rigs/1426/Jackup/SeaWolf_Oil_Services_Limited/SeaWolf_Onome,300 ft.,SeaWolf Oil Services Limited,30000 ft.,Jackup,"",Friede & Goldman L-780,--,Africa - West,"Dreco 147' x 30' x 30'; Capacity: 1,000,000 lbs",Friede & Goldman L-780,Oilwell 37.5 in. diameter,"2 x Gardner Denver PZ-11 triplex, 1600 HP",Jackup,Vanuatu,Drilling,Yes,"Mid Continent U-1220-EB 2,000 HP",1981,ABS,Sweden
358,SeaWolf Oil Services Limited,http://www.rigzone.com/data/results.asp?P=2&Region_ID=10,,BoLCtXbc,,--,SeaWolf Oritsetimeyin,SeaWolf Oritsetimeyin,2014-09-18 19:15:55.090026,Rigzone -- full,,Nigeria,http://www.rigzone.com/data/offshore_drilling_rigs/1425/Jackup/SeaWolf_Oil_Services_Limited/SeaWolf_Oritsetimeyin,300 ft.,SeaWolf Oil Services Limited,25000 ft.,Jackup,"",Friede & Goldman F&G Super M2,--,Africa - West,"Loadmaster 160' x 35' x 35'; Capacity: 1,500,000 lbs",Friede & Goldman F&G Super M2,"","3 x, 2200 HP",Jackup,Panama,Ready Stacked,Yes,"3,000 HP",2009,ABS,"MIS Shipyard, Sharjah, UAE"
359,SeaWolf Oil Services Limited,http://www.rigzone.com/data/results.asp?P=2&Region_ID=10,,BoLCtXbc,,--,Adriatic I,Adriatic I,2014-09-18 19:15:55.090026,Rigzone -- full,,Nigeria,http://www.rigzone.com/data/offshore_drilling_rigs/304/Jackup/Shelf_Drilling/Adriatic_I,350 ft.,Shelf Drilling,25000 ft.,Jackup,Varco TDS-8SA,Friede & Goldman F&G Super M2,--,Africa - West,"Loadmaster 160' x 32' x 35'; Capacity: 1,500,000 lbs",Friede & Goldman F&G Super M2,Varco 49.5 in. diameter,"3 x NOV 12-P-160 triplex, 1230 HP",Jackup,Panama,Ready Stacked,Yes,"Varco ADS-10D 3,000 HP",2009,ABS,"MIS Shipyard, Sharjah, UAE"
360,Shelf Drilling,http://www.rigzone.com/data/results.asp?P=2&Region_ID=10,,BoLCtXbc,,Afren,Adriatic IX,Adriatic IX,2014-09-18 19:15:55.090026,Rigzone -- full,,Nigeria,http://www.rigzone.com/data/offshore_drilling_rigs/306/Jackup/Shelf_Drilling/Adriatic_IX,350 ft.,Shelf Drilling,20000 ft.,Jackup,"Varco TDS-3 500 short tons, continuous drilling torque 50,900 ft-lbs with a Varco PH85 pipe handler, 1100 HP",LeTourneau Class 116-C Cantilever jackup with 15ft cantilever extension,--,Africa - West,"Derrick Services Limited 160' x 30' x 30'; Capacity: 1,500,000 lbs",LeTourneau Class 116-C Cantilever jackup with 15ft cantilever extension,"National Oilwell 37.5 in. diameter Model C-375 driven by GE752 electric motor, 2 speed gear box","3 x National Oilwell 12-P-160 each driven by two GE 752 Hi-Torque DC traction motors, rated to 5,000 psi, 1600 HP",Jackup,Marshall Islands,Drilling,Yes,"National Oilwell 1625 DE 3,000 HP",1981,ABS,"Brownsville, TX"
361,Shelf Drilling,http://www.rigzone.com/data/results.asp?P=2&Region_ID=10,,BoLCtXbc,,Afren,Adriatic V,Adriatic V,2014-09-18 19:15:55.090026,Rigzone -- full,,Nigeria,http://www.rigzone.com/data/offshore_drilling_rigs/307/Jackup/Shelf_Drilling/Adriatic_V,300 ft.,Shelf Drilling,25000 ft.,Jackup,"Varco TDS-4S 500 tons, Varco Ph-85 pipe handler, 1100 HP",LeTourneau Class 116-C Cantilever jackup with 15ft cantilever extension,--,Africa - West,"Branham 160' x 30' x 30'; Capacity: 1,000,000 lbs",LeTourneau Class 116-C Cantilever jackup with 15ft cantilever extension,Ideco 37.5 in. diameter Model LR-375E driven by a DC electric motor with a two speed gear box,"2 x Ideco T1600-7 each driven by two GE 752 Hi-Torque DC traction motors rated bo 5000psi, 1600 HP",Jackup,Vanuatu,Drilling,Yes,"Ideco 2100 DE 2,000 HP",1981,ABS,Clydebank Scotland
362,Shelf Drilling,http://www.rigzone.com/data/results.asp?P=2&Region_ID=10,,BoLCtXbc,,--,Adriatic VI,Adriatic VI,2014-09-18 19:15:55.090026,Rigzone -- full,,Gabon,http://www.rigzone.com/data/offshore_drilling_rigs/308/Jackup/Shelf_Drilling/Adriatic_VI,300 ft.,Shelf Drilling,25000 ft.,Jackup,"Varco TDS-3 500 short tons, with a Varco PH-85 pipe handler, 1000 HP",LeTourneau Class 116-C,--,Africa - West,"Pyramid 170' x 30' x 30'; Capacity: 1,500,000 lbs",LeTourneau Class 116-C,"National 37.5 in. diameter Model C-375 driven by independent EMD D-79 electric motor, 2 speed gear box","2 x National Oilwell 12-P-160 each driven by two EMD D-79 DC traction motors, rated to 5000psi, 1600 HP;
1 x NOV HEX240, 975 HP",Jackup,Panama,Cold Stacked,No,"National Oilwell 1625 DE 2,000 HP",1979,ABS,Singapore
363,Shelf Drilling,http://www.rigzone.com/data/results.asp?P=2&Region_ID=10,,BoLCtXbc,,--,Adriatic X,Adriatic X,2014-09-18 19:15:55.090026,Rigzone -- full,,Gabon,http://www.rigzone.com/data/offshore_drilling_rigs/310/Jackup/Shelf_Drilling/Adriatic_X,350 ft.,Shelf Drilling,20000 ft.,Jackup,"Varco TDS-4S 650 short ton hoisting capacity with Ph85 pipe handler; maximum continuous torque rating 45,500 ft-lbs at 130rpm or 29, 1000 ft-lbs at 205rpm, 1100 HP",LeTourneau Class 116-C,--,Africa - West,"Pyramid 160' x 30' x 30'; Capacity: 1,044,000 lbs",LeTourneau Class 116-C,"Emsco 37.5 in. diameter Model T3750 driven by independent EMD-79 electric motor, 2 speed gear box","2 x Emsco FB-1600 each driven by two EMD D-79 DC traction motors, rated to 5,000 psi, 1600 HP",Jackup,Vanuatu,Cold Stacked,No,"Emsco C-3 Type II 2,000 HP",1981,ABS,Singapore
364,Shelf Drilling,http://www.rigzone.com/data/results.asp?P=2&Region_ID=10,,BoLCtXbc,,Addax Petroleum,Baltic,Baltic,2014-09-18 19:15:55.090026,Rigzone -- full,,Nigeria,http://www.rigzone.com/data/offshore_drilling_rigs/315/Jackup/Shelf_Drilling/Baltic,375 ft.,Shelf Drilling,25000 ft.,Jackup,"Varco TDS-8SA 750 short tons, continuous drilling torque rating 63,000 ft-lbs with a Varco PH-100 pipe handler, 1100 HP",LeTourneau Class 116-C,--,Africa - West,"Pyramid 160' x 30' x 30'; Capacity: 1,500,000 lbs",LeTourneau Class 116-C,"National Oilwell 49.5 in. diameter Model C-495 driven by independent DC electric motor, 2 speed gear box","3 x National Oilwell 14-P-220 each driven by two DC traction motors, rated to 7500psi, 2170 HP",Jackup,Vanuatu,Drilling,Yes,"National 1625 3,000 HP",1982,ABS,Clydebank Scotland
365,Shelf Drilling,http://www.rigzone.com/data/results.asp?P=2&Region_ID=10,,BoLCtXbc,,--,Trident VIII,Trident VIII,2014-09-18 19:15:55.090026,Rigzone -- full,,Cameroon,http://www.rigzone.com/data/offshore_drilling_rigs/1118/Jackup/Shelf_Drilling/Trident_VIII,300 ft.,Shelf Drilling,21000 ft.,Jackup,"Varco TDS-4H 650 short tons, continuous drilling torque rating 50,900 ft-lbs with a Varco PH-85 pipe handler, 1100 HP",LeTourneau Super 300 Class,--,Africa - West,"Brown Services 160' x 30' x 30'; Capacity: 1,300,000 lbs",LeTourneau Super 300 Class,National 49.5 in. diameter Model C-495 driven by independent electric motor,"3 x National Oilwell 14-P-220 each driven by two GE 752 Hi-Torque DC traction motors, rated to 7500psi, 2200 HP",Jackup,Vanuatu,Ready Stacked,Yes,"National 1625 DE 3,000 HP",1983,ABS,"Brownsville, TX"
366,Shelf Drilling,http://www.rigzone.com/data/results.asp?P=2&Region_ID=10,,BoLCtXbc,,Shebah,Trident XIV,Trident XIV,2014-09-18 19:15:55.090026,Rigzone -- full,,Nigeria,http://www.rigzone.com/data/offshore_drilling_rigs/1110/Jackup/Shelf_Drilling/Trident_XIV,300 ft.,Shelf Drilling,25000 ft.,Jackup,"Varco TDS-4S 750 tons w/ PH-85 pipehandler, 1150 HP",Mitsui Modec 300 C-35,--,Africa - West,"Branham 160' x 33' x 33'; Capacity: 1,102,000 lbs",Mitsui Modec 300 C-35,National 37.5 in. diameter Model C-375,"3 x Gardner Denver PZ-11, 1600 HP",Jackup,Liberia,Drilling,No,"Gardner Denver 1500 RE 2,000 HP",1981,ABS,Japan
367,Shelf Drilling,http://www.rigzone.com/data/results.asp?P=2&Region_ID=10,,BoLCtXbc,,--,Anini,Anini,2014-09-18 19:15:55.090026,Rigzone -- full,,Gabon,http://www.rigzone.com/data/offshore_drilling_rigs/42/Inland_Barge/Shell_Nigeria/Anini,18 ft.,Shell Nigeria,"",Inland Barge,"Varco TDS-4H w/ PH-85 pipehandler, 1100 HP",Baker Marine Services BMC-300-IC,--,Africa - West,"Pyramid 160' x 30' x 30'; Capacity: 1,300,000 lbs",Baker Marine Services BMC-300-IC,Gardner Denver 37.5 in. diameter Model RT375,"3 x Gardner Denver PZ-11, 1600 HP",Jackup,Liberia,Modification,Yes,"Gardner Denver E2100 1,600 HP",1982,ABS,"Promet, Singapore"
368,Shell Nigeria,http://www.rigzone.com/data/results.asp?P=2&Region_ID=10,,BoLCtXbc,,Shell,Manilla,Manilla,2014-09-18 19:15:55.090026,Rigzone -- full,,Nigeria,http://www.rigzone.com/data/offshore_drilling_rigs/446/Inland_Barge/Shell_Nigeria/Manilla,18 ft.,Shell Nigeria,"",Inland Barge,"","",--,Africa - West,"","","","",Inland Barge,"",Workover,No,"","","",""
369,Shell Nigeria,http://www.rigzone.com/data/results.asp?P=2&Region_ID=10,,BoLCtXbc,,Shell,Stena Carron,Stena Carron,2014-09-18 19:15:55.090026,Rigzone -- full,,Nigeria,http://www.rigzone.com/data/offshore_drilling_rigs/1416/Drillship/Stena_Drilling/Stena_Carron,10000 ft.,Stena Drilling,35000 ft.,Drillship,"","",--,Africa - West,"","","","",Inland Barge,"",Workover,No,"","","",""
370,Stena Drilling,http://www.rigzone.com/data/results.asp?P=2&Region_ID=10,,BoLCtXbc,,Statoil,Stena DrillMAX,Stena DrillMAX,2014-09-18 19:15:55.090026,Rigzone -- full,,Angola,http://www.rigzone.com/data/offshore_drilling_rigs/1378/Drillship/Stena_Drilling/Stena_DrillMAX,10000 ft.,Stena Drilling,35000 ft.,Drillship,"Hydralift HPS 1000--2E-AC-KT Auxiliary top drive model HPS-750-1E-AC-KT; 1150HP, 67K ft/lbs torque, 2300 HP",Samsung,"5,845 ft",Africa - West,"Hydralift; Capacity: 2,000,000 lbs",Samsung,"National 60.5 in. diameter Model D-605 Hydraulid drive, auxilliary center: National D-495, hydraulic drive, 49.5 opening","4 x National FC-2200 7,500 psi; 9"" bore x 15"" stroke with variable speed motors, 2200 HP",Drillship,UK,Drilling,Yes,"",2008,DNV,"Samsung, Koje, South Korea"
371,Stena Drilling,http://www.rigzone.com/data/results.asp?P=2&Region_ID=10,,BoLCtXbc,,Hess Corp.,Cajun Express,Cajun Express,2014-09-18 19:15:55.090026,Rigzone -- full,,Ghana,http://www.rigzone.com/data/offshore_drilling_rigs/115/Semisub/Transocean_Ltd/Cajun_Express,8500 ft.,Transocean Ltd.,35000 ft.,Semisub,"NOV HPS-1000 649 ton capacity, 7498 psi",Samsung Samsung Double Hull,--,Africa - West,"National Oilwell 157'; Capacity: 1,999,592 lbs",Samsung Samsung Double Hull,"National 60.5 in. diameter Model D-605 20 rpm,44991 ft/lb torque","4 x NOV FC 220 Triplex, 74.6 Kw, 100 HP",Drillship,UK,Drilling,Yes,"",2008,DNV,"Koje Shipyard, South Korea"
372,Transocean Ltd.,http://www.rigzone.com/data/results.asp?P=2&Region_ID=10,,BoLCtXbc,,Cairn Energy,Deepwater Discovery,Deepwater Discovery,2014-09-18 19:15:55.090026,Rigzone -- full,,Senegal,http://www.rigzone.com/data/offshore_drilling_rigs/150/Drillship/Transocean_Ltd/Deepwater_Discovery,10000 ft.,Transocean Ltd.,30000 ft.,Drillship,"CanRig 1275E, 1150 HP",Sedco Forex Express 2000,"4,921 ft",Africa - West,"Joseph Paris 190'; Capacity: 1,500,000 lbs",Sedco Forex Express 2000,Varco 60 in. diameter Model RST,"4 x National Oilwell 14-P-220 triplex, 2200 HP",Semisub,Liberia,Drilling,Yes,"Hitec / Dreco AHCD 6,600 HP",2000,ABS,Promet Shipyard Singapore
373,Transocean Ltd.,http://www.rigzone.com/data/results.asp?P=2&Region_ID=10,,BoLCtXbc,,--,Discoverer Luanda,Discoverer Luanda,2014-09-18 19:15:55.090026,Rigzone -- full,,Spain,http://www.rigzone.com/data/offshore_drilling_rigs/1495/Drillship/Transocean_Ltd/Discoverer_Luanda,12000 ft.,Transocean Ltd.,40000 ft.,Drillship,Varco TDS-4S DC 750 T capacity,Samsung/Reading & Bates Samsung/R&B Falcon Double Hull,--,Africa - West,"Dreco 210' x 95' x 75'; Capacity: 2,000,000 lbs",Samsung/Reading & Bates Samsung/R&B Falcon Double Hull,"Continental Emsco 60.5 in. diameter Model T-6050 Rated for 1,000 Tons","4 x Continental Emsco FC 2200, 2200 HP",Drillship,Vanuatu,Ready Stacked,Yes,"Continental Emsco Electrohoist V 5,000 HP",2000,ABS,Samsung Korea
374,Transocean Ltd.,http://www.rigzone.com/data/results.asp?P=2&Region_ID=10,,BoLCtXbc,,BP,Falcon 100,Falcon 100,2014-09-18 19:15:55.090026,Rigzone -- full,,Angola,http://www.rigzone.com/data/offshore_drilling_rigs/243/Semisub/Transocean_Ltd/Falcon_100,2500 ft.,Transocean Ltd.,25000 ft.,Semisub,Maritime Hydraulics MDDM,Enhanced Enterprise-class,--,Africa - West,"",Enhanced Enterprise-class,"","3 x NOV 14-P-220, 2200 HP",Drillship,Marshall Islands,Drilling,Yes,"",2010,DNV,"Okpo, South Korea"
375,Transocean Ltd.,http://www.rigzone.com/data/results.asp?P=2&Region_ID=10,,BoLCtXbc,,--,GSF Aleutian Key,GSF Aleutian Key,2014-09-18 19:15:55.090026,Rigzone -- full,,Congo,http://www.rigzone.com/data/offshore_drilling_rigs/312/Semisub/Transocean_Ltd/GSF_Aleutian_Key,2300 ft.,Transocean Ltd.,25000 ft.,Semisub,Varco TDS-4S 650 ton,Friede & Goldman L-900 Pacesetter,--,Africa - West,"Lee C Moore 180'; Capacity: 1,000,000 lbs",Friede & Goldman L-900 Pacesetter,Continental Emsco 49 in. diameter Model T4950,"2 x Continental Emsco FB-1600 triplex, 1600 HP",Semisub,Marshall Islands,Ready Stacked,Yes,"",1974,ABS,"Avondale, New Orleans LA"
376,Transocean Ltd.,http://www.rigzone.com/data/results.asp?P=2&Region_ID=10,,BoLCtXbc,,--,GSF Arctic I,GSF Arctic I,2014-09-18 19:15:55.090026,Rigzone -- full,,Gabon,http://www.rigzone.com/data/offshore_drilling_rigs/266/Semisub/Transocean_Ltd/GSF_Arctic_I,3400 ft.,Transocean Ltd.,28000 ft.,Semisub,"Varco TDS-4S 650 ton, with a GE 752 DC hi-torque motor, rated to 45,500 ft.-lbs. continuous drilling torque in low grea, complete with a PH-85 pipehandler",Friede & Goldman 9500 Enhanced Pacesetter Column stabilized semi-submersible drilling unit,--,Africa - West,"Pyramid 182' x 40' x 40'; Capacity: 1,000,000 lbs",Friede & Goldman 9500 Enhanced Pacesetter Column stabilized semi-submersible drilling unit,National Oilwell 49.5 in. diameter with independent drive using a GE 752 DC motor with 2-speed transmission,"3 x National Oilwell A-1700-PT triplex each driven by two GE 752 traction motors, 1700 HP",Semisub,Vanuatu,Cold Stacked,No,"National Oilwell E-3000 2,000 HP",1976,ABS,Tamano Japan
377,Transocean Ltd.,http://www.rigzone.com/data/results.asp?P=2&Region_ID=10,,BoLCtXbc,,--,GSF Celtic Sea,GSF Celtic Sea,2014-09-18 19:15:55.090026,Rigzone -- full,,Spain,http://www.rigzone.com/data/offshore_drilling_rigs/268/Semisub/Transocean_Ltd/GSF_Celtic_Sea,5750 ft.,Transocean Ltd.,25000 ft.,Semisub,"Varco TDS-4H 650 short tons, continuous drilling torque rating 45,500 ft-lbs.",Friede & Goldman L-907 Enhanced Pacesetter,--,Africa - West,"Dreco 195' x 40' x 40'; Capacity: 1,400,000 lbs",Friede & Goldman L-907 Enhanced Pacesetter,National Oilwell 49.5 in. diameter with independent electric motor drive,"3 x National Oilwell A-1700-PT triplex each driven by two GE752 Hi-Torque DC traction motors, rated to 5,000 psi with plungers and hi-pressure liners, 1700 HP",Semisub,Vanuatu,Cold Stacked,No,"National Oilwell E3000 3,000 HP",1983,DNV,Rauma Repola Finland
378,Transocean Ltd.,http://www.rigzone.com/data/results.asp?P=2&Region_ID=10,,BoLCtXbc,,ExxonMobil,GSF Constellation II,GSF Constellation II,2014-09-18 19:15:55.090026,Rigzone -- full,,Angola,http://www.rigzone.com/data/offshore_drilling_rigs/134/Jackup/Transocean_Ltd/GSF_Constellation_II,400 ft.,Transocean Ltd.,30000 ft.,Jackup,Varco TDS-4S Equipped with PH-85 pipe handler and remote 15K IBOP,Friede & Goldman L-907 Enhanced Pacesetter,--,Africa - West,"Dreco 165' x 40' x 40'; Capacity: 1,600,000 lbs",Friede & Goldman L-907 Enhanced Pacesetter,National Oilwell 49.5 in. diameter Model C-495 Independently driven by one GE 752 DC motor; rotary skids out for riser running operations,"3 x National Oilwell 12-P-160 triplex Each driven by two GE 752 Hi-Torque DC traction motors, rated to 5,000 psi. One (1) Lewco W446, 440 hp triplex riser boost pump, 650 gpm, 1600 HP",Semisub,Vanuatu,Drilling,Yes,"National Oilwell 1625-UDBE 3,000 HP",1998,ABS,Brownsville
379,Transocean Ltd.,http://www.rigzone.com/data/results.asp?P=2&Region_ID=10,,BoLCtXbc,,Total,GSF Rig 135,GSF Rig 135,2014-09-18 19:15:55.090026,Rigzone -- full,,Gabon,http://www.rigzone.com/data/offshore_drilling_rigs/339/Semisub/Transocean_Ltd/GSF_Rig_135,2800 ft.,Transocean Ltd.,25000 ft.,Semisub,"National Oilwell PS2 650/750 with National Oilwell rotating set back storage system, 1150 HP",Friede & Goldman JU 2000,--,Africa - West,"170' x 40' x 40'; Capacity: 1,600,000 lbs; Hook + Setback: 2,550,000 lbs",Friede & Goldman JU 2000,National Oilwell 49.5 in. diameter Model D-495,"3 x National Oilwell 14-P-220 triplex each driven by two GE752 high-torque DC traction motors, rated to 7500psi with plungers and high-pressure liners.  High pressure mud piping rated to 7500psi, 2200 HP",Jackup,Vanuatu,Drilling,Yes,"National Oilwell 1625 3,000 HP",2004,ABS,Singapore
380,Transocean Ltd.,http://www.rigzone.com/data/results.asp?P=2&Region_ID=10,,BoLCtXbc,,--,Sedco 702,Sedco 702,2014-09-18 19:15:55.090026,Rigzone -- full,,Congo,http://www.rigzone.com/data/offshore_drilling_rigs/1009/Semisub/Transocean_Ltd/Sedco_702,6500 ft.,Transocean Ltd.,25000 ft.,Semisub,"Varco TDS-5H 650 ton, with a GE752 DC hi-torque motor, rated to 38,700 ft-lbs continuous drilling torque, complete with a PH-85 pipehandler",Friede & Goldman 9500 Enhanced Pacesetter,--,Africa - West,"Dreco 185' x 40' x 40'; Capacity: 1,300,000 lbs",Friede & Goldman 9500 Enhanced Pacesetter,Oilwell 49.5 in. diameter Model A with independent drive using a GE752DC motor with 2-speed transmission,"3 x National Oilwell A-1700-PT triplex each driven by two GE 752 traction motors, 1700 HP",Semisub,Vanuatu,Ready Stacked,Yes,"National Oilwell E-300 3,000 HP",1983,ABS,Daewoo Okpo Korea
381,Transocean Ltd.,http://www.rigzone.com/data/results.asp?P=2&Region_ID=10,,BoLCtXbc,,Shell,Sedco 710,Sedco 710,2014-09-18 19:15:55.090026,Rigzone -- full,,Nigeria,http://www.rigzone.com/data/offshore_drilling_rigs/1016/Semisub/Transocean_Ltd/Sedco_710,4500 ft.,Transocean Ltd.,25000 ft.,Semisub,Varco TDS-4S,Earl & Wright/Sedco 700 Series,--,Africa - West,"Lee C Moore 185'; Capacity: 1,300,000 lbs",Earl & Wright/Sedco 700 Series,Oilwell 49.5 in. diameter,"3 x National Oilwell A-1700-PT triplex, 1600 HP",Semisub,Liberia,Drilling,Yes,"National Oilwell E-3000 3,000 HP",1973,ABS,Avondale New Orleans LA
382,Transocean Ltd.,http://www.rigzone.com/data/results.asp?P=2&Region_ID=10,,BoLCtXbc,,--,Sedco Energy,Sedco Energy,2014-09-18 19:15:55.090026,Rigzone -- full,,Spain,http://www.rigzone.com/data/offshore_drilling_rigs/1020/Semisub/Transocean_Ltd/Sedco_Energy,7500 ft.,Transocean Ltd.,35000 ft.,Semisub,Varco TDS-3H,Earl & Wright/Sedco 700 Series,--,Africa - West,"Dreco 160'; Capacity: 1,330,000 lbs",Earl & Wright/Sedco 700 Series,Oilwell 49.5 in. diameter,"2 x Continental Emsco FB-1600 triplex, 1600 HP",Semisub,Liberia,Cold Stacked,No,"National Oilwell E-3000 2,500 HP",1983,ABS,Tamano Japan
383,Transocean Ltd.,http://www.rigzone.com/data/results.asp?P=2&Region_ID=10,,BoLCtXbc,,--,Sedco Express,Sedco Express,2014-09-18 19:15:55.090026,Rigzone -- full,,Ghana,http://www.rigzone.com/data/offshore_drilling_rigs/1021/Semisub/Transocean_Ltd/Sedco_Express,7500 ft.,Transocean Ltd.,25000 ft.,Semisub,CanRig 1275E,Sedco Forex Express 2000,--,Africa - West,"Joseph Paris 190'; Capacity: 2,000,000 lbs",Sedco Forex Express 2000,Varco 60.5 in. diameter,"4 x National Oilwell 14-P-220 triplex, 2200 HP",Semisub,Liberia,Inspection,Yes,"Hitec / Dreco AHDD 6,600 HP",2000,ABS,"DCN Brest, France"
384,Transocean Ltd.,http://www.rigzone.com/data/results.asp?P=2&Region_ID=10,,BoLCtXbc,,ENI (NOC),Sedneth 701,Sedneth 701,2014-09-18 19:15:55.090026,Rigzone -- full,,Nigeria,http://www.rigzone.com/data/offshore_drilling_rigs/1025/Semisub/Transocean_Ltd/Sedneth_701,1500 ft.,Transocean Ltd.,25000 ft.,Semisub,CanRig 1275E,Sedco Forex SFXpress 2000,"2,178 ft",Africa - West,"Joseph Paris 190'; Capacity: 2,057,000 lbs",Sedco Forex SFXpress 2000,Varco 60.5 in. diameter,"3 x National Oilwell 14-P-220 triplex, 2200 HP",Semisub,Liberia,Drilling,Yes,"Hitec / Dreco AHDD 6,800 HP",2000,ABS,"DCN Brest, France"
385,Transocean Ltd.,http://www.rigzone.com/data/results.asp?P=2&Region_ID=10,,BoLCtXbc,,--,Transocean Honor,Transocean Honor,2014-09-18 19:15:55.090026,Rigzone -- full,,Congo,http://www.rigzone.com/data/offshore_drilling_rigs/1640/Jackup/Transocean_Ltd/Transocean_Honor,400 ft.,Transocean Ltd.,30000 ft.,Jackup,Varco TDS-4S,Earl & Wright/Sedco 700 Series,--,Africa - West,"Lee C Moore 185' x 39' x 54'; Capacity: 1,200,000 lbs",Earl & Wright/Sedco 700 Series,Oilwell 49.5 in. diameter Independent drive,"3 x National Oilwell A-1700-PT triplex, 1600 HP",Semisub,Liberia,Cold Stacked,No,"National Oilwell E-3000 3,000 HP",1973,ABS,Halifax Nova Scotia
386,Transocean Ltd.,http://www.rigzone.com/data/results.asp?P=2&Region_ID=10,,BoLCtXbc,,Chevron,Sapphire Driller,Sapphire Driller,2014-09-18 19:15:55.090026,Rigzone -- full,,Angola,http://www.rigzone.com/data/offshore_drilling_rigs/1457/Jackup/Vantage_Drilling/Sapphire_Driller,375 ft.,Vantage Drilling,30000 ft.,Jackup,"NOV TDS-8SA integrated top drive and swivel drilling system, rated 750 st",Baker Marine Services Pacific Class 400,--,Africa - West,"NOV 160' x 35' x 35'; Capacity: 1,500,000 lbs",Baker Marine Services Pacific Class 400,NOV 49.5 in. diameter,"3 x NOV 14-P-220 2,200 hp triplex pumps, each driven by two GE B22D2 1,150 hp AC motors, rated to 7,500 psi with plungers and high-pressure liners. High pressure mud piping rated to 7,500 psi., 2200 HP",Jackup,Vanuatu,Drilling,Yes,"NOV ADS-10T 3,000 HP",2011,ABS,"PPL Shipyard, Singapore"
387,Vantage Drilling,http://www.rigzone.com/data/results.asp?P=2&Region_ID=10,,BoLCtXbc,,Perenco,Titanium Explorer,Titanium Explorer,2014-09-18 19:15:55.090026,Rigzone -- full,,Gabon,http://www.rigzone.com/data/offshore_drilling_rigs/1527/Drillship/Vantage_Drilling/Titanium_Explorer,12000 ft.,Vantage Drilling,40000 ft.,Drillship,"CanRig 1275AC, 1150 HP",Baker Marine Services Baker Marine Pacific Class 375,--,Africa - West,"Loadmaster 160' x 35' x 35'; Capacity: 1,500,000 lbs",Baker Marine Services Baker Marine Pacific Class 375,"NOV 49.5 in. diameter Model D495 hydraulically operated, 800 sht rated, 37,000 ft lbs @ 21.5 rpm","3 x Eweco E-2200, 2200 HP",Jackup,Panama,Drilling,Yes,"TTS Sense EDM Ultrahoist 750-3000 3,000 HP",2009,ABS,"PPL Shipyard, Singapore"
